Date,Profit/Losses
Jan-10,1088983
Feb-10,-354534
Mar-10,276622
Apr-10,-728133
May-10,852993
Jun-10,563721
Jul-10,-535208
Aug-10,632349
Sep-10,-173744
Oct-10,950741
Nov-10,-785750
Dec-10,-1194133
Jan-11,-589576
Feb-11,-883921
Mar-11,443564
Apr-11,837887
May-11,1081472
Jun-11,464033
Jul-11,-1066544
Aug-11,323846
Sep-11,-806551
Oct-11,487053
Nov-11,1128811
Dec-11,791398
Jan-12,739367
Feb-12,-197825
Mar-12,666016
Apr-12,589771
May-12,489290
Jun-12,-471439
Jul-12,120417
Aug-12,175347
Sep-12,855449
Oct-12,605195
Nov-12,-235220
Dec-12,347138
Jan-13,298510
Feb-13,163254
Mar-13,1141840
Apr-13,542630
May-13,99841
Jun-13,752765
Jul-13,-252949
Aug-13,914424
Sep-13,679524
Oct-13,514377
Nov-13,462102
Dec-13,159782
Jan-14,878810
Feb-14,-946748
Mar-14,340335
Apr-14,292032
May-14,502266
Jun-14,265852
Jul-14,851017
Aug-14,-549615
Sep-14,290162
Oct-14,755391
Nov-14,1073202
Dec-14,313000
Jan-15,241132
Feb-15,1036589
Mar-15,853904
Apr-15,-388932
May-15,982952
Jun-15,537759
Jul-15,547784
Aug-15,-496214
Sep-15,854181
Oct-15,934719
Nov-15,-288531
Dec-15,-184383
Jan-16,659541
Feb-16,-1149123
Mar-16,355882
Apr-16,662284
May-16,518681
Jun-16,-748256
Jul-16,-910775
Aug-16,951227
Sep-16,898241
Oct-16,-729004
Nov-16,-112209
Dec-16,516313
Jan-17,607208
Feb-17,382539